"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address"
"https://seohacks.es/wp-content/uploads/2016/05/firewall-ip.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","13144","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.150","Tue, 04 Oct 2016 09:52:41 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/05/firewall-ip.jpg"
"https://seohacks.es/wp-content/uploads/2016/05/ssh.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","31974","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.172","Tue, 04 Oct 2016 09:52:42 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/05/ssh.jpg"
"https://seohacks.es/wp-content/uploads/2016/05/CDN.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","20417","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.164","Tue, 04 Oct 2016 09:52:41 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/05/CDN.jpg"
"https://seohacks.es/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.059","Thu, 10 Dec 2020 17:14:28 GMT","","","","HTTP/1.1","https://seohacks.es/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js"
"https://seohacks.es/cdn-cgi/l/email-protection","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Email Protection | Cloudflare","29","252","","0","0","","0","Email Protection","16","You are unable to access this email address seohacks.es","55","","0","noindex, nofollow","","","","","","","","4232","113","15.690","2","","2","2","7.410","0","0","4","4","","","","","feed63f7ef17c6b17d0feaffe7245e7b","0.093","","","","","HTTP/1.1","https://seohacks.es/cdn-cgi/l/email-protection"
"https://seohacks.es/wp-content/uploads/2016/08/crawl-budget-optimizacion.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","6251","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.139","Tue, 04 Oct 2016 09:52:43 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/08/crawl-budget-optimizacion.png"
"https://seohacks.es/wp-content/uploads/2015/10/extensiones-SEO.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","22558","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.154","Tue, 04 Oct 2016 09:52:05 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/extensiones-SEO.jpg"
"https://seohacks.es/wp-content/uploads/2015/10/estructura-web.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","84762","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.176","Tue, 04 Oct 2016 09:52:05 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/estructura-web.jpg"
"https://seohacks.es/ir/one","text/html; charset=UTF-8","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","2","","2","1","3.700","0","0","0","0","","","","","","0.401","","http://one.me/esaiklat","HTTP Redirect","","HTTP/1.1","https://seohacks.es/ir/one"
"https://seohacks.es/wp-content/uploads/2015/10/estructura-web-e1445811225547.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","89929","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.232","Tue, 04 Oct 2016 09:52:05 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/estructura-web-e1445811225547.jpg"
"https://seohacks.es/wp-content/uploads/2015/10/Crear-blog-Wordpress-750x374.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","73476","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.183","Tue, 04 Oct 2016 09:52:04 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/Crear-blog-Wordpress-750x374.png"
"https://seohacks.es/que-es-thin-content/","text/html; charset=UTF-8","200","OK","Indexable","","¿Que considera Google “Thin Content” en realidad?","49","461","","0","0","","0","¿Qué considera Google que es el “Thin Content” en realidad?","59","Thin Content","12","Tipos de Thin Content","21","","","","https://seohacks.es/que-es-thin-content/","","","","","60764","1747","17.505","2","","34","6","22.220","51","20","19","15","","","","","e8350e258629d246d6cbcc0182c88638","0.152","Thu, 10 Dec 2020 19:49:30 GMT","","","","HTTP/1.1","https://seohacks.es/que-es-thin-content/"
"https://seohacks.es/wp-content/uploads/2015/10/administrador-analytics.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","11433","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.143","Tue, 04 Oct 2016 09:52:04 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/administrador-analytics.jpg"
